Date,Subject or Title,Sent,Delivered,Total Opens,Unique Opens,Open Rate,Unique Clicks,Click-Through Rate,Verified Unique Clicks,Verified Click-Through Rate,Unsubscribed,Unsubscribe Rate,Spam Reported,Spam Reported Rate,Web Views,Web Clicks Unique,Web Click Rate,Post ID,Content Tags,Delivery Rate
"Nov 4, 2025","India, Data, And AI Power","119,043","117,918","45,842","34,118",28.93%,980,2.87%,218,0.64%,270,0.23%,1,0.07%,46,1,2.17%,cbb52c33-16fb-461e-9dd5-5c3d9fdf4cfc,Daily News,99.05
"Nov 5, 2025",The Real Cost Of AI Hype,"117,662","115,651","55,026","40,562",35.07%,665,1.64%,211,0.52%,207,0.18%,0,0.00%,85,2,2.35%,1bc16367-2b9a-4501-9113-adf36898e1e2,Daily News,98.29
"Nov 6, 2025",Infrastructure Eats AI for Lunch,"108,243","107,162","46,542","33,231",31.01%,531,1.60%,175,0.53%,196,0.18%,0,0.00%,84,2,2.38%,a4334324-d289-403c-ab42-99b90223f040,Daily News,99.00
"Nov 6, 2025",The Future Is Rendered,0,0,0,0,,0,,0,,0,,0,,3,0,0.00%,11ff4d3a-8d8b-44ee-b4bc-d37183e6f85f,Daily News,#DIV/0!
"Nov 7, 2025",When Art Meets Algorithms,"107,253","106,182","48,139","34,686",32.67%,621,1.79%,173,0.50%,182,0.17%,0,0.00%,116,1,0.86%,fd8fbb47-cab6-47fc-a30d-d84fabbc0cbb,Daily News,99.00
"Nov 10, 2025",AI Needs A Moral Compass,"104,964","103,941","86,608","70,451",67.78%,"1,515",2.15%,139,0.20%,142,0.14%,0,0.00%,100,2,2.00%,25690ad0-3353-4c65-8cc5-c4844dc15d2c,Daily News,99.03
"Nov 11, 2025",OpenAI’s Power Play,"113,919","112,032","37,426","27,324",24.39%,403,1.47%,144,0.53%,212,0.19%,0,0.00%,95,0,0.00%,788c5dff-4c10-461d-9cbb-d364fd401acb,Daily News,98.34
"Nov 12, 2025","Creative Tools, Rewritten","123,425","121,743","46,577","33,799",27.76%,747,2.21%,235,0.70%,254,0.21%,0,0.00%,121,1,0.83%,0bd0d389-423e-4956-9498-f68835e8e207,Daily News,98.64
"Nov 13, 2025",Big Tech’s Bubble Math,"124,610","120,898","41,816","29,861",24.70%,417,1.40%,236,0.79%,374,0.31%,0,0.00%,152,1,0.66%,bb477df1-c9f6-4ad2-b190-6a2f6ece384f,Daily News,97.02
"Nov 14, 2025",Europe Hits The Brakes,"115,628","113,608","116,136","96,068",84.56%,774,0.81%,260,0.27%,339,0.30%,0,0.00%,147,7,4.76%,3fdf9895-d0ef-4775-8c25-096a53714f74,Daily News,98.25
"Nov 17, 2025",OpenAI’s Healthcare Gamble,"125,231","123,275","78,807","62,056",50.34%,"1,025",1.65%,312,0.50%,469,0.38%,0,0.00%,336,3,0.89%,0776f02b-a4c3-4857-a8da-8359e4d66505,Daily News,98.44
"Nov 18, 2025",The AI Inflection Point,"132,978","131,761","117,813","96,884",73.53%,794,0.82%,237,0.24%,389,0.30%,0,0.00%,908,2,0.22%,f5757be3-d308-4840-beac-2aefe5f7d14d,Daily News,99.08
"Nov 19, 2025",The AI Beat Drops,"133,345","132,200","93,754","74,990",56.72%,"1,352",1.80%,397,0.53%,561,0.42%,0,0.00%,604,1,0.17%,377e0668-73a3-407b-a81a-ab4ceb0a87b6,Daily News,99.14
"Nov 20, 2025",Why AI Runs On Shortages,"138,847","136,026","80,725","63,231",46.48%,888,1.40%,226,0.36%,342,0.25%,8,0.61%,440,2,0.45%,8b8ea2cf-ec4a-4dc6-922f-c8c4d5695017,Daily News,97.97
"Nov 21, 2025","AI In Court, For Real","143,580","140,708","88,489","68,843",48.93%,689,1%,326,0.47%,438,0.31%,9,0.64%,692,3,0.43%,c084a7cc-57f2-4567-a970-11b97d1752c5,Daily News,98.00
"Nov 24, 2025",AI Runs on Data... Who’s in Charge?,"135,721","133,291","81,871","65,643",49.25%,"1,184",1.80%,191,0.29%,286,0.21%,5,0.41%,91,2,2.20%,947159a3-5818-4947-9f71-853770946891,Daily News,98.21
"Nov 25, 2025",Who Really Runs AI?,"143,132","141,941","73,955","55,159",38.86%,812,1.47%,299,0.54%,425,0.30%,1,0.09%,140,1,0.71%,6603884e-deb9-4388-9e4c-ab7dcfd5bbfd,Daily News,99.17
"Nov 26, 2025",Content You Can’t Verify,"153,190","151,138","142,226","120,764",79.90%,"1,102",0.91%,265,0.22%,433,0.29%,5,0.39%,148,1,0.68%,8129a535-6edb-499d-8a3e-22d2af683bb5,Daily News,98.66
"Nov 27, 2025",How China Is Building Its AI Internet,"154,941","152,043","79,810","58,235",38.30%,730,1.25%,348,0.60%,424,0.28%,3,0.23%,126,4,3.17%,f6632616-00f7-4b35-8d58-2e3471b8378b,Daily News,98.13
"Nov 28, 2025",Who Controls AI’s Future?,"157,494","156,132","104,673","81,817",52.40%,"1,544",1.89%,316,0.39%,504,0.32%,1,0.08%,89,1,1.12%,fabeaa0f-de9c-48b7-8a83-7a9085215efc,Daily News,99.14
"Dec 1, 2025",Open vs. Closed AI,"149,475","148,148","57,040","40,620",27.42%,735,1.81%,361,0.89%,502,0.34%,3,0.25%,149,4,2.68%,edcabf23-59ed-4782-9284-34da74a4fc20,Daily News,99.11
"Dec 2, 2025",AI Gives Robots A Spine,"153,734","150,370","69,081","53,947",35.88%,"1,852",3.43%,260,0.48%,434,0.29%,3,0.26%,92,3,3.26%,fcfff403-dc5b-40f3-b0f4-0017e836c207,Daily News,97.81
"Dec 3, 2025",AI Wants to Be Your Friend,"161,974","159,037","164,773","134,270",84.43%,"3,009",2.24%,374,0.28%,558,0.35%,3,0.26%,156,2,1.28%,475f5a4a-e8dc-4ff0-9cfd-2bce36f07608,Daily News,98.19
"Dec 4, 2025",The Patent Tug-of-War,"153,081","151,422","71,050","54,464",35.97%,924,1.70%,255,0.47%,403,0.27%,1,0.09%,123,2,1.63%,406b87dc-a4c5-415f-af61-7a1844acb968,Daily News,98.92
"Dec 5, 2025",Who Really Controls AI?,"157,852","155,818","74,355","54,590",35.03%,844,1.55%,278,0.51%,344,0.22%,3,0.27%,107,3,2.80%,57df52cd-39ac-4c4a-9806-fc2284a9aa86,Daily News,98.71
"Dec 8, 2025",AI’s Cooling Crisis,"166,448","163,074","122,474","100,522",61.64%,"1,383",1.38%,321,0.32%,380,0.23%,0,0.00%,611,3,0.49%,9858e38c-c128-49c3-99ef-c08459a205bb,Daily News,97.97
"Dec 9, 2025","Racing Toward AGI, No Guardrails","157,289","155,528","106,170","84,171",54.12%,983,1.17%,254,0.30%,336,0.22%,0,0.00%,410,1,0.24%,9204f1a6-7571-4102-8500-e66088659f1e,Daily News,98.88
"Dec 10, 2025",The End Of Easy AI Dominance,"161,015","159,440","75,555","58,267",36.54%,"1,073",1.84%,325,0.56%,375,0.24%,2,0.19%,363,0,0.00%,8df22966-82de-4ce8-8b37-65b82440cee7,Daily News,99.02
"Dec 11, 2025",The Auto Industry’s AI Split,"159,481","156,464","80,977","66,109",42.25%,"1,474",2.23%,178,0.27%,293,0.19%,1,0.10%,"1,459",3,0.21%,3ec80dac-18b2-4c67-822a-6a5b4b9434c2,Daily News,98.11
"Dec 12, 2025",Moderating The Mess With AI,"152,086","150,530","79,215","62,404",41.46%,"1,862",2.98%,218,0.35%,250,0.17%,0,0.00%,225,1,0.44%,882529d2-5233-4d1c-b9e4-721ce5e2de3b,Daily News,98.98
"Dec 15, 2025",How AI Rewrites Empire,"150,963","149,185","62,035","46,193",30.96%,487,1.05%,165,0.36%,207,0.14%,0,0.00%,424,1,0.24%,bbaf0e08-25f3-47f6-9b0c-d1e832f73ee8,Daily News,98.82
"Dec 16, 2025","AI Power, Local Pain","150,404","148,919","121,238","80,607",54.13%,236,0.29%,180,0.22%,216,0.15%,0,0.00%,915,1,0.11%,c651e8a7-69bc-4239-9c74-743470c23088,Daily News,99.01
"Dec 17, 2025","Search Is Dead, Sort Of","159,313","157,764","141,681","102,451",64.94%,"1,330",1.30%,301,0.29%,314,0.20%,0,0.00%,"1,297",6,0.46%,fe43b6de-f29d-4a00-bc06-72ac0e947496,Daily News,99.03
"Dec 18, 2025",Your Copilot Is Just Search,"168,355","166,114","126,938","90,475",54.47%,"2,926",3.23%,251,0.28%,312,0.19%,3,0.29%,199,2,1.01%,f0ffc4c0-aec4-419b-ae52-fa7605f3d24f,Daily News,98.67
"Dec 19, 2025",Policies Before More Prompts,"162,334","158,985","51,817","35,852",22.55%,228,0.64%,152,0.42%,223,0.14%,2,0.20%,69,1,1.45%,0fe61e59-38da-4c64-bca3-5730c208b333,Daily News,97.94
"Dec 22, 2025",Your AI Bill Spike,"167,492","165,191","80,938","52,356",31.69%,584,1.12%,281,0.54%,297,0.18%,0,0.00%,319,5,1.57%,b5b6d939-4461-4083-bd79-ee6e27013df0,Daily News,98.63
"Dec 23, 2025",When Safety Meets Sovereignty,"167,119","162,919","64,205","42,922",26.35%,327,0.76%,170,0.40%,218,0.13%,0,0.00%,126,5,3.97%,17e781ec-6c24-4b68-92a9-a0ea28e12d09,Daily News,97.49
"Dec 26, 2025","AI Matures, Excuses Expire","152,747","151,268","95,006","65,445",43.26%,695,1.06%,195,0.30%,206,0.14%,0,0.00%,827,2,0.24%,6a78747e-6cb3-4c3c-8714-e72f97116a16,Daily News,99.03
"Dec 29, 2025",AI Capex vs Real Revenue,"152,201","150,429","55,358","41,676",27.70%,204,0.49%,164,0.39%,225,0.15%,0,0.00%,79,0,0.00%,25737d4e-63ac-4c73-8937-247a38a845ca,Daily News,98.84
"Dec 30, 2025",Who Really Writes AI Rules?,"151,889","150,287","142,413","105,353",70.10%,601,0.57%,159,0.15%,204,0.14%,2,0.18%,123,0,0.00%,3fcaf0f4-a10f-4d5e-8147-c8c3bb996e23,Daily News,98.95
"Jan 2, 2026",Inside AI’s Mental Side Effects,"151,290","149,462","88,118","62,387",41.74%,"1,020",1.63%,127,0.20%,162,0.11%,0,0.00%,205,3,1.46%,a96c38f3-0648-4df2-b2e4-3ffe43560133,Daily News,98.79
"Jan 5, 2026","One Nation, Fifty AI Rulebooks","173,585","171,882","121,317","94,661",55.07%,"1,627",1.72%,489,0.52%,582,0.34%,1,0.09%,712,5,0.70%,9803eb26-44b9-4dce-b861-978cb17003fd,Daily News,99.02
"Jan 6, 2026","Smuggled GPUs, Global Nerves","183,769","181,238","199,686","131,579",72.60%,"1,695",1.29%,387,0.29%,566,0.31%,2,0.19%,"2,060",2,0.10%,4918e56d-51f2-48e4-b23f-4b35df836eac,Daily News,98.62
"Jan 7, 2026","Sovereignty, Silicon, and Power","183,650","181,329","123,143","105,721",58.30%,"1,422",1.35%,395,0.37%,550,0.30%,0,0.00%,"1,966",0,0.00%,6abc6f41-9c72-4e57-a57e-98c99d439063,Daily News,98.74
"Jan 8, 2026",When States Outrun DC,"190,998","188,663","129,736","108,799",57.67%,"1,163",1.07%,397,0.36%,606,0.32%,0,0.00%,"1,041",1,0.10%,40c4a648-484f-43e4-93ba-7aa5f2480b35,Daily News,98.78
"Jan 9, 2026",Who Owns the AI Stories?,"183,280","182,464","172,091","153,747",84.26%,975,0.63%,266,0.17%,371,0.20%,1,0.10%,"1,484",2,0.13%,42cd3e17-8331-475f-9041-618fedf6e255,Daily News,99.55
"Jan 12, 2026",Biometrics At Every Border,"175,890","174,773","142,920","130,325",74.57%,"1,679",1.29%,223,0.17%,286,0.16%,0,0.00%,102,1,0.98%,7aae69ae-d921-414c-8e1e-8b61b74ad148,,99.36
